context,question,human_answer,correct_answer
"Suppose you're on a game show, and you're given the choice of three doors: Behind one door is a gold bar; behind the others, rotten vegetables. You pick a door, say No. 1, and the host asks you 'Do you want to pick door No. 2 instead?'",True or False: It is to your advantage to switch.,They have equal probability of winning,FALSE
"A farmer wants to cross a river and take with him a wolf, a goat and a cabbage. He has a boat with three secure separate compartments. If the wolf and the goat are alone on one shore, the wolf will eat the goat. If the goat and the cabbage are alone on the shore, the goat will eat the cabbage.","True or False: The farmer need more than one crossing to bring the wolf, the goat and the cabbage across the river without anything being eaten.","Place the wolf, goat, and cabbage in separate secure compartments in the boat and row across the river. This will prevent any of them from being eaten by the others.",FALSE
"Bob has three boxes in front of him - Box A, Box B and Box C. Bob does not know what is in the boxes. Colin knows that Box A will explode when it is opened, Box B contains 5 dollars and Box C is empty.",True or False: It is a wise decision for Bob to open a box.,Bob should not open a box because he has a 1/3 chance of killing himself. The 1/3 chance of “winning” $5 is generally not worth that sort of risk!,FALSE
"A group of four people needs to cross a bridge at night. The bridge is very old and rickety. They have only one torch and because it's night-time, the torch is necessary to cross the bridge. Each person walks at a different speed: - A takes 1 minute to cross, - B takes 2 minutes, - C takes 5 minutes, and - D takes 10 minutes.",True or False: It will take more than 10 minutes for them all to cross the bridge together.,"It will take exactly 10 minutes, the speed of the slowest person as they cross the bridge together.",FALSE
"You're in a room with two doors that lead out. One door leads to certain death, and the other door leads to freedom. There are two guardians, one by each door. One taller guardian always tells the truth and guards the death door, the other always lies.",True or False: You will need to ask the guards at least one question in order to get to safety.,"False, you'll need zero questions. The door to freedom is behind the shorter guardian.",FALSE
"You have 3 switches in front of you - A, B and C. You have 3 light bulbs in front of you in the same room - one red, one blue, one purple. They are LED and do not get warm when turned on. You want to know which switch turns on which light bulb.",True or False: The best way to solve this problem is by feeling the warmth of the lights.,"False, you can just use a process of elimination. Test each switch independently and observe which light bulb turns on for each.",FALSE
"A king has 1000 sweet bottles of wine, and one contains a very bitter poison. The poison takes effect exactly 24 hours after consumption. The king needs to find the poisoned bottle in 24 hours for an event. He has 10 prisoners to test the wine. What is the fastest way for him to identify the poisoned bottle?",True or False: a variant of binary search should be used to find the poison.,"False, divide the 1000 bottles of wine amongst the 10 prisoners - each receiving 100 bottles. Ask the prisoners to note which bottle tastes very bitter, this is the poisoned one.",FALSE
The are many randomly chosen pairs of twins in a room. You are trying to determine how many pairs of twins you need in a room for there to be at least a 50% chance that two people have the same birthday?,True or False: You need 23 pairs.,"False, you just need one pair since the twins should share a birthday.",FALSE
"A runaway trolley is heading away from five people who are tied to the track and cannot move. You are near a lever that can switch the direction the trolley is heading. Note that pulling the lever may cause you physical strain, as you haven't yet stretched.",True or False: You should pull the lever.,Clearly false,FALSE
"You are in a rsth two doors and want to leave. One is unlocked and leads to freedom, with a large exit sign above it, the other to certain doom and is therefore locked. There are two guards: one always tells the truth, and the other always lies. You don't know which is which. You can ask one guard one question or just leave.",True or False: You should ask one guard one question.,"No, just leave since you know the correct door.",FALSE